Program,Role,District,QuestionId,MetricName,CorrectCount,TotalRespondents,AccuracyPct
CLSS,Participant,Niwari,84,84_Correct,110.0,143.0,76.92
CLSS,Participant,Panna,84,84_Correct,551.0,614.0,89.74
CLSS,Participant,Raisen,84,84_Correct,498.0,546.0,91.21
CLSS,Participant,Rajgarh,84,84_Correct,571.0,651.0,87.71
CLSS,Participant,Ratlam,84,84_Correct,648.0,760.0,85.26
CLSS,Participant,Rewa,84,84_Correct,344.0,397.0,86.65
CLSS,Participant,Sagar,84,84_Correct,426.0,479.0,88.94
CLSS,Participant,Satna,84,84_Correct,505.0,559.0,90.34
CLSS,Participant,Sehore,84,84_Correct,3.0,3.0,100.0
CLSS,Participant,Seoni,84,84_Correct,621.0,687.0,90.39
CLSS,Participant,Shahdol,84,84_Correct,279.0,321.0,86.92
CLSS,Participant,Shajapur,84,84_Correct,361.0,385.0,93.77
CLSS,Participant,Sheopur,84,84_Correct,203.0,234.0,86.75
CLSS,Participant,Shivpuri,84,84_Correct,375.0,412.0,91.02
CLSS,Participant,Sidhi,84,84_Correct,444.0,517.0,85.88
CLSS,Participant,Singrauli,84,84_Correct,203.0,251.0,80.88
CLSS,Participant,Tikamgarh,84,84_Correct,206.0,266.0,77.44
CLSS,Participant,Ujjain,84,84_Correct,490.0,548.0,89.42
CLSS,Participant,Umaria,84,84_Correct,221.0,256.0,86.33
CLSS,Participant,Vidisha,84,84_Correct,548.0,612.0,89.54
CLSS,Participant,Total,84,84_Correct,20956.0,23785.0,88.11
CLSS,Participant,Agar Malwa,95,95_Correct,95.0,239.0,39.75
CLSS,Participant,Alirajpur,95,95_Correct,124.0,339.0,36.58
CLSS,Participant,Anuppur,95,95_Correct,78.0,278.0,28.06
CLSS,Participant,Ashoknagar,95,95_Correct,129.0,347.0,37.18
CLSS,Participant,Balaghat,95,95_Correct,274.0,802.0,34.16
CLSS,Participant,Barwani,95,95_Correct,196.0,565.0,34.69
CLSS,Participant,Betul,95,95_Correct,333.0,951.0,35.02
CLSS,Participant,Bhind,95,95_Correct,190.0,637.0,29.83
CLSS,Participant,Bhopal,95,95_Correct,117.0,321.0,36.45
CLSS,Participant,Burhanpur,95,95_Correct,55.0,147.0,37.41
CLSS,Participant,Chhatarpur,95,95_Correct,247.0,720.0,34.31
CLSS,Participant,Chhindwara,95,95_Correct,321.0,863.0,37.2
CLSS,Participant,Damoh,95,95_Correct,109.0,374.0,29.14
CLSS,Participant,Datia,95,95_Correct,106.0,338.0,31.36
CLSS,Participant,Dewas,95,95_Correct,1.0,1.0,100.0
CLSS,Participant,Dhar,95,95_Correct,324.0,839.0,38.62
CLSS,Participant,Dindori,95,95_Correct,108.0,310.0,34.84
CLSS,Participant,Guna,95,95_Correct,133.0,404.0,32.92
CLSS,Participant,Gwalior,95,95_Correct,185.0,527.0,35.1
CLSS,Participant,Harda,95,95_Correct,70.0,220.0,31.82
CLSS,Participant,Indore,95,95_Correct,216.0,459.0,47.06
